Size,Series,Product Name,Slug,Category,Finish,Application
300×450 mm,Rover,Rover Dark,rover-dark,Ceramic,Glossy,Wall
300×450 mm,Rover,Rover HL,rover-hl,Ceramic,Glossy,Wall
300×450 mm,Rover,Rover Light,rover-light,Ceramic,Glossy,Wall
300×450 mm,Satin White,Satin White,satin-white,Ceramic,Matt,Wall
300×450 mm,Satuario,Satuario,satuario,Ceramic,Glossy,Wall
300×450 mm,Savoy,Savoy Dark,savoy-dark,Ceramic,Glossy,Wall
300×450 mm,Savoy,Savoy HL,savoy-hl,Ceramic,Glossy,Wall
300×450 mm,Savoy,Savoy Light,savoy-light,Ceramic,Glossy,Wall
300×450 mm,Swan,Swan Dark,swan-dark,Ceramic,Glossy,Wall
300×450 mm,Swan,Swan HL 01,swan-hl-01,Ceramic,Glossy,Wall
300×450 mm,Swan,Swan HL 02,swan-hl-02,Ceramic,Glossy,Wall
300×450 mm,Swan,Swan Light,swan-light,Ceramic,Glossy,Wall
300×450 mm,Sweden,Sweden Dark,sweden-dark,Ceramic,Glossy,Wall
300×450 mm,Sweden,Sweden HL,sweden-hl,Ceramic,Glossy,Wall
300×450 mm,Sweden,Sweden Light,sweden-light,Ceramic,Glossy,Wall
300×450 mm,Teramo Creme,Teramo Creme Dark,teramo-creme-dark,Ceramic,Glossy,Wall
300×450 mm,Teramo Creme,Teramo Creme HL,teramo-creme-hl,Ceramic,Glossy,Wall
300×450 mm,Teramo Creme,Teramo Creme Light,teramo-creme-light,Ceramic,Glossy,Wall
300×450 mm,Teramo Creme Matt,Teramo Creme Matt Dark,teramo-creme-matt-dark,Ceramic,Matt,Wall
300×450 mm,Teramo Creme Matt,Teramo Creme Matt HL,teramo-creme-matt-hl,Ceramic,Matt,Wall
300×450 mm,Teramo Creme Matt,Teramo Creme Matt Light,teramo-creme-matt-light,Ceramic,Matt,Wall
300×450 mm,Triangle,Triangle Dark,triangle-dark,Ceramic,Glossy,Wall
300×450 mm,Triangle,Triangle HL,triangle-hl,Ceramic,Glossy,Wall
300×450 mm,Triangle,Triangle Light,triangle-light,Ceramic,Glossy,Wall
300×450 mm,Vantel,Vantel Dark,vantel-dark,Ceramic,Glossy,Wall
300×450 mm,Vantel,Vantel HL,vantel-hl,Ceramic,Glossy,Wall
300×450 mm,Vantel,Vantel Light,vantel-light,Ceramic,Glossy,Wall
